index,title,genres,story_line,cast,director
3015,City Lights,"Drama, Thriller","Deepak Singh is a farmer in Rajasthan. After a tragedy, he migrates to Mumbai with his wife and child to lead a better life. However, upon arriving, he soon discovers the challenges of life in a big city.","Rajkummar Rao,Patralekhaa Paul,Manav Kaul,Khushboo Upadhyay",Hansal Mehta
3016,Humpty Sharma Ki Dulhania,"Comedy, Drama, Romance","A girl from Ambala, Kavya Pratap Singh, is about to be married. When she visits Delhi to shop for her 'dhai lakh ka Ghagra, she meets Humpty Sharma, a carefree Delhiite, and falls in love with him.","Varun Dhawan,Alia Bhatt,Ashutosh Rana,Sidharth Shukla",Shashank Khaitan
3017,Khoobsurat,"Comedy, Romance",A hopelessly romantic physiotherapist meets a handsome young Rajput prince who is the complete opposite of her and engaged to someone else.,"Sonam Kapoor,Fawad Khan,Ratna Pathak Shah,Kirron Kher",Shashanka Ghosh
3018,Kill Dil,"Action, Comedy, Drama","Abandoned when young, Bhaiyaji gives shelter to Dev and Tutu. A game of defiance, deception and love follows when free-spirited Disha enters their life.","Ranveer Singh,Ali Zafar,Parineeti Chopra,Govinda",Shaad Ali
3019,Dedh Ishqiya,"Comedy, Drama, Romance",Two lousy crooks find paradise in the seven stages of love.,"Madhuri Dixit,Huma Qureshi,Naseeruddin Shah,Bhuvan Arora",Abhishek Chaubey
3020,Lakshmi,Drama,"Based on true events, Lakshmi is a story of heroism and untold courage. Lakshmi, a 13 year old girl is kidnapped and sold into prostitution. Thrown into this horrific, inhuman world where ...       »","Monali Thakur,Vibha Chhibber,Ranjeet Jha,Ram Kapoor",Nagesh Kukunoor
3021,2 States,"Comedy, Drama, Romance",This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,"Arjun Kapoor,Alia Bhatt,Amrita Singh,Revathi",Abhishek Varman
3022,Hasee Toh Phasee,"Comedy, Romance","Nikhil is re-introduced to Meeta nearly ten years after their first meeting. Now, as Nikhil has one week to prove himself worth enough to marry Meeta's sister Karishma, the old acquaintances become quite close to each other.","Sidharth Malhotra,Parineeti Chopra,Adah Sharma,Manoj Joshi",Vinil Mathew
3023,Entertainment,"Action, Comedy, Drama","Akhil, an underdog and a failure, comes to know that his real father is a rich diamond merchant who has just passed away. When he goes to retrieve his wealth, he learns that a dog has inherited it.","Akshay Kumar,Tamannaah Bhatia,Junior,Krishna Abhishek",
3024,Ungli,"Crime, Drama, Thriller",A gang of friends decide to take justice into their own hands.,"Sanjay Dutt,Emraan Hashmi,Kangana Ranaut,Randeep Hooda",Renzil D'Silva
3025,Daawat-e-Ishq,"Comedy, Drama, Romance","A story of Gullu, a Hyderabadi girl frustrated with dowry-seeking men and Taru (a charming Lucknawi cook), who crush old-fashioned world-view.","Aditya Roy Kapoor,Parineeti Chopra,Anupam Kher,Karan Wahi",Habib Faisal
3026,Jai Ho,"Action, Drama","An upright ex-army man, Jai fights a solitary war against corruption and injustice. With a simple mantra to pay forward, he starts off by helping one person and forms an ever growing circle of people helping each other.","Salman Khan,Abhinay Raj Singh,Daisy Shah,Tabu",Sohail Khan
3027,Heropanti,"Action, Romance",Two young people find love despite the violent landscape in which they live.,"Tiger Shroff,Kriti Sanon,Parthaa Akerkar,Sunil Grover",Sabir Khan
3028,Holiday,"Action, Crime, Thriller","A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command.","Akshay Kumar,Sonakshi Sinha,Freddy Daruwala,Sumeet Raghavan",A.R. Murugadoss
3029,Creature,"Action, Horror, Sci-Fi",A newly-opened forest lodge finds itself under attack from a recently awakened creature.,"Bipasha Basu,Imran Abbas,Mukul Dev,Deepraj Rana",Vikram Bhatt
3030,Happy Ending,"Comedy, Romance",A confused writer goes on the search of inspiration for his next story and falls in love with a best seller author who doesn't believe in love.,"Saif Ali Khan,Ileana D'Cruz,Kalki Koechlin,Ranvir Shorey",
3031,Kochadaiiyaan,"Animation, Action, Adventure","A noble warrior seeks revenge against the ruler of his kingdom, who killed his father. At the same time, he also ends up upsetting the neighboring enemy kingdom's ruler.","Rajinikanth,Deepika Padukone,R. Sarathkumar,Jackie Shroff",Soundarya Rajinikanth Vishagan
3032,MMS Kand,Romance,,,Kanti ShahStar:Sapna Sappu
3033,The Xpose,"Drama, Mystery, Romance","This is a dramatic chain of events in the most glamorous ,swinging era of Hindi films... the 1960s. It was a decade when film stars tasted success and carried their larger than life screen ...       »","Himesh Reshammiya,Yo Yo Honey Singh,Irrfan Khan,Zoya Afroz",Anant Mahadevan
3034,Singham Returns,"Action, Crime, Drama","Owing to the wrongdoings affiliated with evils similar to black money, an honest but ferocious police officer returns as the Deputy Commissioner of Police with the prospect of wiping out injustice.","Ajay Devgn,Kareena Kapoor,Amole Gupte,Anupam Kher",Rohit Shetty
3035,Main Tera Hero,"Action, Comedy, Romance","Seenu and Sunaina fall in love with each other when he saves her from a corrupt policeman who wishes to marry her. Meanwhile, Ayesha, a girl Seenu meets on a train journey, wants to marry him.","Varun Dhawan,Ileana D'Cruz,Nargis Fakhri,Arunoday Singh",David Dhawan
3036,Tigers,Drama,"Ayan, a pharmaceutical salesman in Pakistan, takes on the multinational health care corporation he works for after he realizes they knowingly marketed a baby formula that's responsible for the death of hundreds of babies everyday.","Emraan Hashmi,Geetanjali Thapa,Danny Huston,Khalid Abdalla",Danis Tanovic
3037,Lingaa,"Action, Comedy, Drama",A small-time thief reforms after learning about the role played by his grandfather in building a dam.,"Rajinikanth,Anushka Shetty,Sonakshi Sinha,Jagapathi Babu",K.S. Ravikumar
3038,Humshakals,"Comedy, Drama, Romance","A comedy centered around three people who each have a lookalike of a lookalike, all with the same name.","Saif Ali Khan,Riteish Deshmukh,Ram Kapoor,Bipasha Basu",Sajid Khan
3039,Fugly,"Drama, Thriller",Four friends fight against a corrupt police officer who extorts money from them for not framing them in a murder which the officer committed himself.,"Jimmy Shergill,Mohit Marwah,Kiara Advani,Vijender Singh",Kabir Sadanand
3040,Titli,"Action, Crime, Drama","Titli, the youngest member of a car-jacking brotherhood wants to escape the family business. He and his wife form a pact to set free from their family roots. But is escape possible?","Shashank Arora,Ranvir Shorey,Shivani Raghuvanshi,Amit Sial",Kanu Behl
3041,Pizza,Horror,A Pizza delivery boy's mundane life takes a horrifying turn when he is sent to make a delivery to the home of a family who have a dark secret. Will he be able to overcome the evil that lurks in the shadows and live to tell his tale?,"Akshay Oberoi,Parvathy Omanakuttan,Arunoday Singh,Dipannita Sharma",Akshay Akkineni
3042,Raja Natwarlal,"Crime, Thriller",A small-time con man seeks assistance from his mentor with the intention of settling scores with a gangster.,"Emraan Hashmi,Humaima Malik,Paresh Rawal,Kay Kay Menon",Kunal Deshmukh
3043,M.... Matric Pass,"Drama, Romance",A film about an Innocent Girl trapped in Delhi Sex Scandal,"Seema Dogra,Paras Sharma,Sushma Sharma,Kaash Sherawat",Suresh Jain
3044,Bewakoofiyaan,"Comedy, Drama, Romance",Bewakoofiyaan is a slice-of life comedy when recession strikes and the lack of money tests love. Is living on love and fresh air really possible?,"Ayushmann Khurrana,Sonam Kapoor,Rishi Kapoor,Swedha Singh",Nupur Asthana
3045,Mr Joe B. Carvalho,"Action, Comedy, Mystery",A small time detective is hired to bring back the daughter of a businessman who has run away from home with the house chef.,"Arshad Warsi,Soha Ali Khan,Jaaved Jaaferi,Shakti Kapoor",Samir Tewari
3046,Bhoothnath Returns,"Comedy, Drama, Fantasy","A ghost returns back from his world to prove something. But on earth, he has something more to do for his country.","Amitabh Bachchan,Boman Irani,Parth Bhalerao,Sanjay Mishra",Nitesh Tiwari
3047,The Shaukeens,Comedy,Three friends in their 60s try to do everything that they couldn't do in their younger days - before death arrives.,"Akshay Kumar,Lisa Haydon,Anupam Kher,Rajni Basumatary",Abhishek Sharma
3048,Zid,"Crime, Romance, Thriller","A journalist, who is still in love with his ex-girlfriend, becomes the obsession of his landlord's daughter.","Mannara Chopra,Karanvir Sharma,Shraddha Das,Denzil Smith",Vivek Agnihotri
3049,Darr @ the Mall,"Horror, Thriller","During the inaugural party of one of the largest malls in Asia, a newly recruited security guard must work to stop a supernatural threat.","Jimmy Shergill,Nushrratt Bharuccha,Arif Zakaria,Vikram Raj Bhardwaj",Pavan Kirpalani
3050,Gulaab Gang,"Action, Drama",A fearless woman fights social injustice; creating a sanctuary for abused women and battling a crooked politician.,"Madhuri Dixit,Juhi Chawla,Divya Jagdale,Priyanka Bose",Soumik Sen
3051,Shaadi Ke Side Effects,"Comedy, Romance",A complicated relationship develops between a man and woman after getting married and having a baby.,"Farhan Akhtar,Vidya Balan,Vir Das,Ram Kapoor",Saket Chaudhary
3052,Lucky Kabootar,Comedy,Lucky (Eijaz Khan) loves 'modern' Kammo (Shradha Das) but ends up marrying the girl-next-door Lakshmi (Kulraj Randhawa). An accident leads him to believe that his wife is dead. Instead of ...       »,"Arvinder Bhatti,Shraddha Das,Rimple Dhindsa,Rose J. Kaur",Shammi Chhabra
3053,Heartless,"Drama, Family, Romance","A young man, Aditya Singh (Adhyayan), who fell deeply in love with a beautiful girl (Ariana). Soon he had a severe heart-attack, and when consulted with his doctor-friend (Shekhar Suman), ...       »","Adhyayan Suman,Ariana Ayam,Deepti Naval,Om Puri",Shekhar Suman
3054,Yaariyan,"Drama, Romance",A college student must win an inter college competition to save his college from being demolished by property builders.,"Himansh Kohli,Rakul Preet Singh,Nicole Faria,Shreyas Porus Pardiwalla",Divya Khosla Kumar
3055,Kaanchi,"Drama, Musical, Romance",The inner power of a woman who represents over one million suppressed youth against injustice in the country.,"Mishti Chakravarty,Kartik Aaryan,Rishi Kapoor,Mithun Chakraborty",Subhash Ghai
3056,Machhli Jal Ki Rani Hai,Horror,"It's not just a matter of one spirit, it's a matter of multiple possessions in one body.","Swara Bhaskar,Reema Debnath,Saurabh Dubey,Hritu",Debaloy Dey
3057,Purani Jeans,"Drama, Romance","Sidharth, his best friend Sam and their gang of friends rediscover bonds of friendship and love.","Tanuj Virwani,Izabelle Leite,Aditya Seal,Raghav Raj Kakker",Tanushri Chattrji Bassu
3058,Karle Pyaar Karle,"Action, Romance","Karle Pyaar Karle is an adrenaline gushing, action packed, edgy love story of two rebels, Kabir & Preet, playing the game of life.","Shiv Darshan,Hasleen Kaur,Aham Sharma,Rumi Khan",Rajesh Pandey
3059,Children of War,"Drama, History, War",Would you go to war for peace? A war child's search for acceptance and a nation inundated in blood.,"Farooq Shaikh,Victor Banerjee,Pawan Malhotra,Indraneil Sengupta",Mrityunjay Devvrat
3060,Super Nani,"Comedy, Drama, Family","The movie revolves around how an Indian woman, Bharti, who sacrifices her life for her children and husband, and yet they do not value her or her sacrifices, and they all maltreat her. Then...       »","Rekha,Sharman Joshi,Randhir Kapoor,Anupam Kher",Indra Kumar
3061,3 AM: A Paranormal Experience,"Horror, Romance",The story of the movie revolves around three friends who are going to make a reality show on the existence of ghosts in the world.,"Salil Acharya,Kavin Dave,Jason Matthew Ethier,Anindita Nayar",Vishal Mahadkar
3062,Mohan Rakesh's Adhe Adhure,Drama,The story of a middle aged woman caught in her destiny and circumstances who tries to find fulfilment in relationships outside her marriage.,"Mohan Agashe,Lillete Dubey,Ira Dubey,Rajeev Siddhartha",Rohit Philip
3063,Sultanat,"Action, Crime, Drama",This is an action/crime feature movie revised by a series of crime plots taking place under criminals in order to mark their power in the underworld. The movies follows conspiracies against...       »,"Javeria Abbasi,Raheela Agha,Haroon Ashraf,Aslam Bhatti",Syed Faisal Bukhari
3064,Hawaa Hawaai,"Drama, Family, Sport",Arjun dreams of skating. Can Arjun follow his dream and be a champion?,"Makrand Deshpande,Partho A. Gupte,Devraya Gole,Neha Joshi",Amole Gupte
3065,6-5=2,Horror,"Six friends decide to undertake a gruelling mountain trek, only to find that the difficulties in store for them are not merely physical. They experience strange and unusual incidents which put their lives at risk.","Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,Disha Kapoor",Bharat Jain
3066,Sonali Cable,"Comedy, Drama","Sonali, a spunky self-made internet operator, proudly runs a small outfit along with her band of ghetto boys catering to a sprawling Mumbai suburb. Complications arise when Sonali's ...       »","Rhea Chakraborty,Ali Fazal,Raghav Juyal,Swanand Kirkire",Charudutt Acharya
3067,Kid Krrish 2 - Mission Bhutan,Animation,"After acquiring the sun dial from Krrish, Dr Para is now on his way to Bhutan to find a Rudraksh that holds the key to the power of Alien technology. He takes the help of Dojo, the terrible...       »",,Indra Narayan Datta
3068,Gang of Ghosts,"Comedy, Horror","A group of ghosts reside in an old house and live in harmony despite cultural differences. However, when they learn that a builder plans to demolish the building, they come together to stop him.","Sharman Joshi,Mahie Gill,Govardhan Asrani,Lankesh Bhardwaj",Satish Kaushik
3069,Eiga Kureyon Shinchan: Gachinko! Gyakushuu no Robotôchan,"Animation, Adventure, Comedy",A high tech company which specialises in making robots for construction turns Hiroshi nohara in a robot who then along with shinosuke fights to reclaim his original body fighting other robots.,"Keiji Fujiwara,Satomi Kôrogi,Miki Narahashi,Akiko Yajima",Wataru Takahashi
3070,Trip to Bhangarh: Asia's Most Haunted Place,"Horror, Thriller","Five friends reunite and plan a trip to Bhangarh, an apparently haunted fort in rural Rajasthan - A place where even staying overnight is forbidden by law.","Manish Chaudhari,Suzanna Mukherjee,Piyush Raina,Rachit Behl",Jitendra Pawar
3071,Total Siyapaa,"Comedy, Drama, Romance","A young musician hopes to marry his beautiful Indian girlfriend, but his plans hit a snag when her family learns he's Pakistani.","Ali Zafar,Yami Gautam,Anupam Kher,Kirron Kher",Eeshwar Nivas
3072,Samrat & Co.,"Mystery, Thriller",A small town tycoon gets murdered. The daughter hires a private investigator to catch the real culprit.,"Rajeev Khandelwal,Madalsa Sharma,Gopal Datt,Girish Karnad",Kaushik Ghatak
3073,Youngistaan,"Drama, Romance","Follow the highs and lows in the life of Abhimanyu who is forced to join Indian politics after his father, the Prime Minister of India, suddenly passes away.","Jackky Bhagnani,Neha Sharma,Farooq Shaikh,Boman Irani",Syed Ahmad Afzal
3074,Dishkiyaoon,"Action, Thriller","Vicky wanted to be the godfather of the Mumbai underworld. He gains everything and also loses everything. He gains respect, power, and leadership, but he loses love and friendship.","Harman Baweja,Harsh Chhaya,Sunny Deol,Rajit Kapoor",Sanamjit Singh Talwar
3075,Zed Plus,"Comedy, Drama","A political satire involving a small town in Rajasthan, where the local government is on the verge of collapsing due to factors such as corruption.","Gautam Singh Rajput,Vinod Acharya,Rajeev Ankit,Adil Hussain",Chandra Prakash Dwivedi
3076,Mumbai 125 KM 3D,"Drama, Horror, Mystery","On their way to a New Year's Eve party in Mumbai, a group of five friends encounter supernatural occurrences on a highway, 125 kilometres outside the city.","Karanvir Bohra,Vedita Pratap Singh,Veena Malik,Joe Debroy",Hemant Madhukar
3077,Revolver Rani,"Action, Comedy, Crime","Alka Singh, the leader of a political party, and her obsessive love for Rohan Mehra, a rising star of Bollywood.","Kangana Ranaut,Vir Das,Backagaindancer,Zakir Hussain",Sai Kabir
3078,Kuku Mathur Ki Jhand Ho Gayi,"Comedy, Romance","When Kuku's friend is unable to give him enough time, he uses improper ways to get him back.","Siddharth Gupta,Simran Kaur Mundi,Siddharth Bhardwaj,Somesh Agarwal",Aman Sachdeva
3079,Mighty Raju Rio Calling,Animation,"Mighty Raju, the four year old with superpowers, travels to Rio, as his father has been given a special assignment by the Indian government. Raju's mother, Sandhya is very happy to go there, but Raju is sad to leave his friends behind.",,
3080,Sulemani Keeda,"Comedy, Romance","This is a Bromantic Comedy about two struggling writers who peddle their mediocre screenplay, ""Sulemani Keeda"" in Bollywood. Perenially hungry and horny, they lie, drink, hit on ...       »","Naveen Kasturia,Mayank Tewari,Aditi Vasudev,Karan Mirchandani",Amit Masurkar
3081,Roar,"Action, Adventure, Sci-Fi","After his photojournalist brother gets killed by a white tigress in the jungles of the Sundarbans, Pandit and his team of commandos enter the prohibited core area of the forest to avenge his death.","Aadil Chahal,Ahran Chaudhary,Pranay Dixit,Subrat Dutta",Kamal Sadanah
3082,Lekar Hum Deewana Dil,"Comedy, Romance","Dino and Karishma get married in Goa and head to the lesser-known parts of the country, afraid of being caught by their parents. However, they start facing many challenges in their marital life.","Armaan Jain,Deeksha Seth,Varun Badola,Nishikant Dixit",Arif Ali
3083,Mumbai Delhi Mumbai,"Comedy, Romance","In Delhi for the first time, a Mumbai girl loses her phone but gets a surprise chance at true love with a local boy who begrudgingly helps her.","Shiv Panditt,Piaa Bajpai,Naisha Arora,Manoj Bakshi",Satish Rajwade
3084,M.A.D: Mad About Dance,"Drama, Music",Mad About Dance is an 2014 Indian dance film. The film is directed by Saahil Prem.,"Saahil Prem,Amy Maghera,Salah Benlemqawanssa,Akhilesh Unnithan",Saahil Prem
3085,Kya Dilli Kya Lahore,"Drama, History, War","In 1948, a cross-fire erupts at an isolated stretch of Indo-Pak border, leaving only two soldiers alive. One is an Indian soldier of Pakistani origin while the other happens to be a ...       »","Vijay Raaz,Manu Rishi Chadha,Raj Zutshi,Vishwajeet Pradhan",
3086,SOS: Secrets of Sex Chapter 3,Drama,"Rihaana is an aspiring sex therapist, whose thesis on rehabilitating gay men and women has caused an outroar. Meanwhile various other characters explore their sexuality in modern day India.","Kumaar Aadarsh,Leena Kapoor",Kumaar Aadarsh
3087,Jigariyaa,Drama,"Shaamu falls in love with Raadha at first sight. As they grow close to each other, destiny takes another turn.","Harshvardhan Deo,Cherry Mardia,Deepak Chaddha,Sorabh Chauhan",Raj Purohit
3088,Dear Vs Bear,"Adventure, Thriller",Dear v/s Bear is a adventures love story. It is a love story of a village rude boy Kapil and Delhi girl Annie.,"Uttar Kumar,Kavita Joshi,Manoj Bakshi,Raju Maan",Sanjeev Vedwan
3089,Neighbours,Horror,"When a horror obsessed teenager learns that her next door neighbours are vampires, no one will believe her.","Sunny Singh,Hritu,Gavie Chahal,Arbaaz Ali Khan",Shyam Ramsay
3090,O Teri,"Comedy, Drama","Prantabh and Anand, associated with a news channel in Delhi, are in search of a big scam to prove a point to their senior. A dead body accidentally lands up in their car.","Pulkit Samrat,Bilal Amrohi,Sarah Jane Dias,Mandira Bedi",Umesh Bist
3091,Riyasat,Crime,Riyasat is a story about the much loved Sahab played by the late Rajesh Khanna. Sahab has ruled for many years and has established his kingdom. People look up to him for everything. He has ...       »,"Rajesh Khanna,Aryeman Ramsay,Raza Murad,Aryan Vaid",Ashok Tyagi
3092,Desi Kattey,Action,A sharpshooting thug becomes a competitive shooter while his childhood friend remains in the life of crime.,"Akhil Kapur,Tia Bajpai,Jay Bhanushali,Zara Khan",Anand Kumar
3093,Balwinder Singh Famous Ho Gaya,Comedy,The story of Balwinder Singh Famous Ho Gaya (2014) is two central characters Mika Singh and Shaan and the confusion they create to win the heart of the girl of their dreams because of their same name 'Balwinder Singh'.,"Govardhan Asrani,Gabriela Bertante,Mikhill Chandiramani,Rajshekhar Kapoor",Sunil Agnihotri
3094,Ekkees Toppon Ki Salaami,Comedy,"Follows two brothers and their quest to fulfill their father's last wish, a twenty-one gun salute.","Anupam Kher,Neha Dhupia,Divyendu Sharma,Manu Rishi Chadha",Ravindra Gautam
3095,Bhaangarh,Horror,"Bhaangarh there are so many tales of it many stories but none that is interesting each one filled with fear.When those six friends came, they could not sense the danger by reading the board...                See full synopsis »","Adeel Chaudhry,Suzzana Mukherjee,Debonita Sur,Tom Alter",Dilip Virender Sood
3096,The Dirty MMS,Drama,"Tej a pervert by nature has been sacked from his job by his boss, due to an inappropriate behavior towards his female employees. With revenge in his heart, he comes back and asks his boss for a second chance.","Gunj,Rohit Bhutani,Pankaj Bhatia,Jeena Khan",
3097,Manjunath,"Biography, Drama","'Manjunath' is a warm inspirational film based on the true story of Manjunath Shanmugam, a sales officer from a petroleum company who was killed by the oil mafia in 2005 for his stand against fuel adulteration.","Anjori Alagh,Karan Ashar,Aarun D. Baliean,Asif Basra",Sandeep A. Varma
3098,Chal Bhaag,Comedy,"Chal Bhaag kickstarts with an MLA being murdered by three shooters. The incident coincides with the arresting of Munna, Bunty and Daler for their small time crimes.","Deepak Dobriyal,Taran Bajaj,Keeya Khanna,Varun Mehra",Prakash Saini
3099,M Cream,"Adventure, Comedy, Drama","A motley crew of university students set out on a journey in pursuit of a mythical form of hash, confronting a series of encounters that begin to unravel the myriad realities of rebellion.","Tom Alter,Raaghavv Chanana,Ira Dubey,Lushin Dubey",
3100,One by Two,"Comedy, Drama, Romance",Aspiring musician Amit and dance fanatic Samara get a better insight of what life has in store for them.,"Abhay Deol,Preeti Desai,Lillete Dubey,Rati Agnihotri",Devika Bhagat
3101,Kunba,Family,An orphaned child who becomes more than his real child and takes care of the old father in old age and the old man loves that boy more than his children.,"Kavita Joshi,Kader Khan,Mushtaq Khan,Uttar Kumar",Yash Chouhan
3102,M3 - Midsummer Midnight Mumbai,Thriller,,"Sara Khan,Paras Chhabra,Pooja Thakur,Milind Gunaji",Braj Bhushan
3103,Main Aur Mr. Riight,"Comedy, Romance","A light hearted take on love, relationships and singlehood.","Barun Sobti,Shenaz Treasury,Kavi Shastri,Danny Sura",Adeeb Rais
3104,Koyelaanchal,"Action, Drama",Koyelaanchal (coal belt of India) brings to light the explosive story of the people who have kept our precious fuel station at ransom for centuries. Koyelaanchal unveils itself through ...       »,"Kannan Arunachalam,Biswanath Basu,Vinod Khanna,Roopali Krishnarao",Asshu Trikha
3105,Kala Sach: The Black Truth,Drama,"The Black Truth is based on a true story. The film highlights the cruelty and inhumane treatment to women in the name of Witch Hunting. This is an old age ritual, which is now used for ...       »","Pakhi Hegde,Mushtaq Khan,Himani Shivpuri,Sanjay Batra",Mayank Prakash Srivastava
3106,Bollywood Villa,Thriller,"A perfect murder, A perfect crime, A perfect plan, A perfect revenge - Welcome to Bollywood Villa. The movie not only depicts the glory , glamor, magnitude attached to the Indian film ...       »","Arun Bakshi,Piyush Bhalodiya,Deepak Bhatia,Christie Bourcq",Chandersen Singh
3107,The Dark secrets of Tonhi,Thriller,Story of a women whom the villagers call as Tonhi or Black magic woman . The superstitious beliefs of the villagers in central India.,"J. Brandon Hill,Natasha Sikka",Shiraz Henry
3108,Kaash Tum Hote,Drama,"Adi (Mukesh Bharti), a creative painter is ambitious and when he meets Simran (Manju Bharti), a pretty lady of his dreams, he immediately decides to get married to her. However, amidst this...       »","Manju Bharti,Mukesh J Bharti,Farida Jalal,Preeti Jhangiani",Manju Bharti
3109,Spark,Action,The story is about a local Indian lad Arjun (Rajneesh Duggal) who falls in love with Anupama (Shubhashree Ganguly) while he is studying in Germany. They soon become passionate lovers ...       »,"Rati Agnihotri,Mansha Bahl,Ranjeet Bedi,Rajneesh Duggal",V.K. Singh
3110,Angry Young Man,Action,"Angry Young Man is an action romantic thriller Hindi directed by Ramesh Rout, starring Ajay Sinh Rathod and Prachi Sinha in leading roles. It was released on 11 April 2014 in India.","Muntazir Ahmad,Amit Bhardwaj,Ashit Kumar,Ajay Sinh Rathod",Ramesh Rout
3111,Ya Rab,"Action, Crime, Drama",The idea behind Ya Rab is to show how Islam has been used as a tool to propagate terrorism. The film focuses on issues where so called self proclaimed Maulanas (Islamic Preachers) ...       »,"Indrapal Ahuja,Neha Baam,Vikram Dahiya,Rakesh Deewana",Hasnain Hyderabadwala
3112,Tamanchey: Pyar Mein Dil Pe Maar De Goli,"Crime, Romance","An aggressive, passionate acidic love story between two criminals whilst on the run from the law.","Nikhil Dwivedi,Richa Chadha,Damandeep Singh,Vijay Pande",Navneet Behal
3113,Shuruaat Ka Interval,Drama,"An anthology of 8 short films around the theme of ""Interval"", mentored and curated by Imtiaz Ali, Vikas Bahl, Vikramaditya Motwane and Anand Gandhi.","Avidant Bhagat,Kaivalya Chheda,Rajsekhar Aningi,Bramha",
3114,Pagdi: The Honour,"Drama, Family","In this simple story about honor versus love, an old man struggles in front of his entire village to accept his son's new love interest.","Ravi Chauhan,Yashpal Sharma,Nidhi Mahila,Mahla Nidhi",Rajeev Bhatia
3115,Surkhaab,"Adventure, Drama, Thriller",An illegal immigrant and a carrier who is on the run in a world alien from her. An exposure to the parallel world that exists in developed countries. A week in the life of a human being trafficked.,"Barkha Madan,Sumit Suri,Vineeta Malik,Kanza Feris",Sanjay Talreja
3116,Lajwanti,"Drama, Romance",A folk tale set in the Thar Desert explores the inner struggles of a married woman to honour a dream and in that search find the higher meaning of love and freedom.,"Sanghmitra Hitaishi,Pushpendra Singh,Sugna Devi,Gaurav Lavaniya",Pushpendra Singh
3117,Station,"Crime, Drama, Thriller",Three psychotic assassins take up a job at a waiting room of a deserted railway Station. Will they finish the job or anything that can go wrong will go wrong?,"Kanika Batra,Gulshan Grover,Rohiet Nair,Sameer Kevin Roy",Saad Khan
3118,Karar: The Deal,Thriller,"Nikita, the granddaughter of a rich and old man, is asthmatic and resides in South Africa. While her family is just about her Dadaji and their care taker Annie, their life changes when Dr. Aryan enters.","Mahek Chahal,Tarun Arora,Shashi Wadia,Jyoti Rana",Sabir
3119,Masala Republic,"Comedy, Thriller","The government has banned the use of pan masala products in the state. Politicians, the public, the police and the media take advantage of the situation.","Indrajith Sukumaran,Soubin Shahir,Vinay Forrt,Shine Tom Chacko",Visakh G S
3120,18.11,Action,"A software engineer creates a program that triggers a warning text to everyone in the vicinity whenever a bomb explodes. As he continues to develop it, corrupt enemies try to snatch it from him.","Rehal Khan,Gulshan Grover,Mukesh Tiwari,Nipon Goswami",Mohibul Haque
3121,Gollu Aur Pappu,Comedy,Two butt-head brothers are muddled in the midst of executing a bomb threat. What's worse than a national bomb scare? When the bomb is in the hands of two idiots.,"Dimple Kapadia,Deepak Tijori,Kunaal Roy Kapur,Vir Das",Kabir Sadanand
3122,Luv... Phir Kabhi,Drama,Luv - Phir Kabhi talks about a young couple who can go to any lengths to spend a lavish life and end up sabotaging their own relationship in the process.,"Saurabh Roy,Arjita Roy,Meghna Patel,Narendra Bedi",Ajay Yadav
3123,She: The Movie,Thriller,"Sundari, a prostitute living in Sundarbans, West Bengal kills her costumers for money and satisfaction. She calls in love with a wildlife photographer. The fight of love, lust, satisfaction and scarification is shown.","Priya Mitra,Deepak Halder,Pradip Rai,Ravi Sah",Viplab Majumder
3124,The Black Truth,"Crime, Drama","The Black Truth is based on a true story. The film highlights the cruelty and inhumane treatment to women in the name of Witch Hunting. This is an old age ritual, which is now used for ...       »","Himani Shivpuri,Pakhi Hegde,Amit Ghanshyam,Mushtaq Khan",Mayank P. Srivastava
3125,19th January,Drama,"The concept of Kashmiryat assumes its real meaning in the film which reveals the real story of Kashmir. It is a cry of mourning, the wail of a widow, the dumb shriek of a motherless child. ...       »","Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia,Prashantt Guptha",Sanjay Amar
3126,Patiala Dreamz,Drama,"Garry (Sarwar Ahuja), brought up in Canada, has recurring dreams of places around Patiala city in Punjab, despite having never visited it. When he chances upon Reet (Madalsa Sharma), a girl...       »","Sarwar Ahuja,Usha Bachani,Amita Nangia,Madalsa Sharma",
3127,Kid Krrish 3 - Mystery in Mongolia,Animation,,,Deepak Nair
3128,Bazaar E Husn,Drama,"Bazaar-e-Husn is a film based on Munshi Premchand's novel Bazaar E Husn. The story revolves around Suman, a courtesan. Brought up by an honest Police Inspector, Suman's life goes through ...       »","Om Puri,Jeet Goswami,Reshmi Ghosh,Yashpal Sharma",
3129,Yamdas,Drama,Yamdas is a person who is doing a social service of killing people who want to commit suicide but do not have the guts to do so. Each person has their own fancy way of dying. Yamdas' latest...       »,"Priya Gamre,Swati Kaushik,Sejal Khanna,Shilpa Koyende",Justin John
3130,Yeh Hai Bakrapur,"Comedy, Drama","Set an against the backdrop of rural India this social satire dwells on the relationship between 8year old Zulfi Quereshi, his pet goat ShahRukh and the village barber(Anshuman Jha)","Anshuman Jha,Suruchi Aulakh,Asif Basra,Yoshika Verma",Janaki Vishwanathan
